Step,Latitude,Longitude,Altitude(ft),ClimbRate(ft/min),WindEffect,Turbulence,Weather
1,41.53199816047539,-93.64900367904922,-0.09050343272711117,-5.43020596362667,-50.183952461055014,270.4285838459497,Storm
2,41.53357525819472,-93.64422984373059,-0.1628641103545822,-4.341640657648261,92.79757672456202,59.195090518221946,Storm
3,41.53141863941672,-93.64692344140664,-0.13331531113308642,1.7729279532897477,-137.59254382302538,-206.40328779827843,Storm
4,41.531174181731096,-93.64579271689792,-0.15953418773458256,-1.573132596089767,-176.7665551327202,219.7056874649611,Storm
5,41.53349358975687,-93.6395342609664,-0.1666091055066308,-0.4244950663228948,40.44600469728351,124.84354667762727,Storm
6,41.53131875011456,-93.64226430037108,-0.2045086444737411,-2.273972338026617,-191.76620228167903,281.94591129719663,Storm
7,41.53471346512806,-93.63385523046412,-0.09785515127932445,6.399209591664999,132.97705632016869,-172.5965335930343,Storm
8,41.53225827686116,-93.63714596711796,0.12821988440797305,13.56450214123785,-127.27001311715975,-189.95729408793972,Storm
9,41.532895228391645,-93.63425242417703,0.40543193176765047,16.632722841580645,-78.30310281618492,14.853858979342704,Storm
10,41.53355332192184,-93.63131659723666,0.8009757458261376,23.73262884350923,-27.221992543153704,-125.26251588117486,Storm
11,41.534420235853645,-93.6279631294931,1.337453608197206,32.18867174226409,44.74115788895179,-216.30368360877492,Storm
12,41.53328868529638,-93.62860659072768,1.9630411989337873,37.535255444194874,-83.14214058591274,-80.18289402378497,Storm
13,41.53409166906658,-93.62538098330732,2.6065107058815675,38.60817041686682,-17.572006313185625,171.10557683580817,Storm
14,41.53321336668582,-93.62551794818887,3.348229242613343,44.50311220390654,-120.1304871366561,8.540663048166948,Storm
15,41.53493161226011,-93.62046181716035,4.27430636108129,55.56462710807685,36.96582754481699,-272.1297523680014,Storm
16,41.53513941581974,-93.6184265701611,5.337614056828989,63.79846174486191,43.01794076057536,-197.68552578762507,Storm
17,41.53311672521155,-93.62085231149753,6.386591928670677,62.93867231050132,-173.9793628058882,269.3313223519999,Storm
18,41.53686632939939,-93.6117334632419,7.491710055148326,66.30708758865892,186.25281322982374,185.03840886987666,Storm
19,41.53436953877126,-93.6151074046182,8.795074664667267,78.20187657113638,-78.15449233065172,-241.39673159616967,Storm
20,41.53603529822809,-93.61015624582457,10.193910543315443,83.9301527188906,73.69321060486277,-35.90850375623921,Storm
21,41.53393380148889,-93.61273959942301,11.693265304195634,89.96128565281151,-151.18470606208848,-2.8938539332378923,Storm
22,41.53373048506145,-93.61152659239794,13.214433556165964,91.27009511821983,-186.24459155391264,245.59224124726927,Storm
23,41.53477533333086,-93.60781725597914,14.831558854433322,97.02751789604145,-96.48800735999323,97.51337061238917,Storm
24,41.5351343401363,-93.60547960248832,16.565516303041264,104.03744691647663,-75.31556956423562,12.040812706686495,Storm
25,41.536221619376796,-93.60168540412737,18.478204065473342,114.76126574592472,18.684111737311866,-189.08732668468377,Storm
26,41.53806039919795,-93.59638820460509,20.43370790537655,117.33023039419244,187.83385110582344,165.07969401666872,Storm
27,41.53808733888062,-93.59471468535979,22.438120814127878,120.26477452507963,175.79957662567563,236.89641025658932,Storm
28,41.53686822545709,-93.59553327232689,24.496741070039825,123.51721535471673,39.15999152443405,253.12454101387004,Storm
29,41.53497787797753,-93.59769432740605,26.7613100263898,135.87413738099863,-164.6029991792322,-182.4102825485129,Storm
30,41.53495209955244,-93.59612624437628,29.170199393971764,144.5333620549179,-181.90908443578476,-104.8018015420414,Storm
31,41.536473181983034,-93.59146443963513,31.737552076930395,154.04116097751788,-44.5290841242072,-137.19058093566247,Storm
32,41.53838070528836,-93.58602975314452,34.441126077859266,162.21444005573244,131.49500366077172,-85.94800398384643,Storm
33,41.53633677571797,-93.58849797240534,37.24589164770688,168.2859341908567,-87.6261961250477,25.617649894949068,Storm
34,41.5359240170066,-93.58770384994811,40.108906678479634,171.78090184636565,-143.63031001009495,181.31818845242378,Storm
35,41.53580580510889,-93.58632063386356,43.008556274436174,173.97897575739225,-170.17974252809168,292.1321619603103,Storm
36,41.53874386403884,-93.57882487612372,46.116526207782684,186.47819600079058,108.89790771866296,-180.77059107949657,Storm
37,41.53582425585763,-93.58304445260619,49.27080254230683,189.25658007144898,-197.79115315055904,189.2768570729005,Storm
38,41.53877687919199,-93.57551956605748,52.51916759079509,194.9019029092956,82.74293753904686,137.40430082459238,Storm
39,41.53918181363082,-93.57309005729988,55.991126456085,208.31753191739455,108.5081386743783,-255.57320895954578,Storm
40,41.53767787758573,-93.5744782895101,59.643657859040445,219.15188417732693,-56.61370858229097,-230.4785642849222,Storm
41,41.539843710802536,-93.56852698319652,63.37188748332642,223.69377745715838,145.2413703502374,73.97887609653475,Storm
42,41.53786217162592,-93.57087042166981,67.31137571849268,236.36929410997587,-67.64079005894033,-261.86498982838583,Storm
43,41.53792979124085,-93.56911554255998,71.37981304652594,244.10623968199565,-75.60707131373512,-104.89000678395178,Storm
44,41.53975156909481,-93.56385234697208,75.52415056614414,248.6602511770922,91.84247133522564,82.53448281312785,Storm
45,41.540529277779235,-93.56067728972329,79.79313989091798,256.1393594864305,154.88509703053063,-16.67104490283043,Storm
46,41.537606086220165,-93.56490403296146,84.13121286527183,260.2843784612306,-152.16230162467932,127.94687233379699,Storm
47,41.540318131858356,-93.55786030180512,88.58208645498632,267.05241538286936,104.31401944675895,36.76631854169773,Storm
48,41.54050614281118,-93.55586464001952,93.15333017819292,274.27462339239526,108.38687198182441,-3.7226421813655293,Storm
49,41.53966048783637,-93.55593631008918,97.85500942313382,282.1007546964539,9.093131752797632,-43.47538898487022,Storm
50,41.53781851545329,-93.55800061497537,102.74707697676004,293.524053217573,-189.83234930236193,-235.26514380401733,Storm
51,41.53798983811654,-93.55603832976892,107.70486512033688,297.46728861460974,-187.4283257253063,81.84624675826825,Storm
52,41.53926882772557,-93.5518607106709,112.77886882221833,304.4402221128868,-74.25760756946933,5.1424146988216535,Storm
53,41.54178895212445,-93.54520082199318,118.01554249635187,314.2004204480127,163.02658957043718,-150.42466251067503,Storm
54,41.53994750034836,-93.54726408566539,123.29921270399034,317.0202124583076,-35.8468307857481,153.33068312582918,Storm
55,41.53936844374566,-93.54680255899083,128.79104258311804,329.50979274766195,-108.48073380335101,-253.8120541027242,Storm
56,41.53975953932282,-93.54440072795654,134.4392802404734,338.8942594413214,-84.0994188344928,-203.26722764759734,Storm
57,41.54246660654801,-93.5373669536262,140.11425663690966,340.49858378617535,171.87906093702924,184.87222773865017,Storm
58,41.541428713392165,-93.53782310005795,145.83589585561683,343.29835312242926,53.361502604169374,222.87635411263068,Storm
59,41.5422570691012,-93.53454674875992,151.74881807455571,354.7753331363328,121.46883075964581,-188.0579646683785,Storm
60,41.542759899215035,-93.53192144865228,157.74855143476177,359.9840016123629,157.02359939599108,23.605345149390416,Storm
61,41.5425667062692,-93.530688194664,163.77967677471813,361.8675203973814,122.976062065625,237.65477995409594,Storm
62,41.54075624197591,-93.5326894833706,170.01992055092532,374.41462657243096,-72.79861001125445,-233.96884528339393,Storm
63,41.540543251153665,-93.53149582513514,176.366392904782,380.78834123140155,-108.82593498322333,-43.735326824246215,Storm
64,41.543050851994664,-93.52486098357319,182.74522412155167,382.72987300617996,127.20590636899726,216.4383499538061,Storm
65,41.53995388388058,-93.5294352799214,189.24983425157728,390.2766078015359,-197.21914778752372,6.448381546539451,Storm
66,41.54174300179852,-93.52423740420555,195.9225169714007,400.3609631894051,-33.03559874048841,-166.73531371756184,Storm
67,41.54070010168274,-93.52470356455716,202.7237592054397,408.0745340423394,-152.05385306652687,-97.43089715782324,Storm
68,41.544139561456525,-93.51620500512962,209.65932707001127,416.13407187429317,177.16388156500767,-106.07824078754686,Storm
69,41.54259036755533,-93.51768375305205,216.65044675028705,419.4671808165456,7.516248697346441,121.81137533710671,Storm
70,41.54211700590535,-93.51701083647207,223.66261648565506,420.730184122082,-54.5481590482824,283.06924963257643,Storm
71,41.544659559103074,-93.51030609019665,230.85740180914408,431.68711940934054,184.9789179768445,-148.9306225047815,Storm
72,41.54294604637435,-93.51211347577413,238.1900138660085,439.956723411866,-1.1005976430458304,-119.47301410993819,Storm
73,41.54224369675577,-93.51189853513134,245.71259444933676,451.35483499969456,-86.06380224901295,-277.8678315872803,Storm
74,41.543689874541656,-93.5073865396796,253.3145796916514,456.1191145388786,43.82573359195874,1.6074139373168919,Storm
75,41.54160481463821,-93.50993701960653,261.0613932957288,464.80881624464257,-179.40849950000427,-132.81212145803315,Storm
76,41.54517924560455,-93.5011685177939,268.9485995031673,473.2323724463096,163.3063543866615,-156.26286559981654,Storm
77,41.54227304397653,-93.50536128116998,276.92168310470794,478.38501609243883,-142.04205116351076,-6.328343833462213,Storm
78,41.54578334873208,-93.4967210317789,285.04148753094387,487.18826557415707,194.26018164424028,-154.76683709309975,Storm
79,41.54467657153273,-93.49731494629765,293.19066165538715,488.95044746659636,68.85421896235141,156.97176919723057,Storm
80,41.54308586194656,-93.49887672559004,301.4025144285678,492.7111663908424,-104.94498240304013,136.92980916711576,Storm
81,41.543753726728944,-93.4959213561453,309.69805389590954,497.732368040504,-52.88674691229872,79.3834983561477,Storm
82,41.544963995468585,-93.49188117878607,318.09420757786194,503.76922091714283,53.41188430435787,21.46481044485506,Storm
83,41.54293831813324,-93.4943128935768,326.52728421753335,505.9845983802842,-163.88409197823668,201.1814973535428,Storm
84,41.54400756174038,-93.49055476648255,335.1441869762073,517.0141655204382,-71.68797401130567,-188.08889376008744,Storm
85,41.543034824474184,-93.49088060113499,343.8314437929585,521.235409005072,-183.68994337809443,54.53576591294507,Storm
86,41.54572926378281,-93.48387208263777,352.72251142158643,533.4640577176739,71.02574473691294,-290.0473026432863,Storm
87,41.545214660996116,-93.4832816483312,361.7441170349317,541.2963368007183,4.837223319712393,-164.10253488123723,Storm
88,41.545894262352036,-93.48030280573941,370.9125956876476,550.1087191629526,58.06911616377994,-195.38014259700515,Storm
89,41.54622460457028,-93.47802248142295,380.17955423047124,556.0175125694199,76.37509524098635,-67.95879221967755,Storm
